"Index","Variant","Region, subregion, country or area *","Notes","Location code","ISO3 Alpha-code","ISO2 Alpha-code","SDMX code**","Type","Parent code","Year","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"26","Estimates","World",NA,"900",NA,NA,"1","World","0","1975","30.889","52.917","78.677","110.932","145.129","176.939","202.099","218.905","229.528","233.249","231.82","225.108","214.571","203.726","192.998","181.519","167.426","153.759","139.926","126.716","115.234","104.558","94.205","84.039","74.26","65.093","54.712","43.236","32.569","23.402","15.741","10.799","7.355","5.059","3.103"
"27","Estimates","World",NA,"900",NA,NA,"1","World","0","1976","30.828","53.733","80.415","110.02","143.157","174.409","198.257","215.098","225.392","229.81","228.315","221.67","211.271","198.36","185.508","173.824","162.176","148.681","135.446","122.427","110.156","99.646","89.518","79.684","70.125","61.221","51.449","41.288","31.317","22.615","15.28","10.527","7.199","4.97","3.079"
"28","Estimates","World",NA,"900",NA,NA,"1","World","0","1977","28.265","52.034","79.205","109.358","139.444","170.406","194.539","210.902","221.213","225.278","223.816","216.833","206.166","193.466","178.855","165.807","154.214","143.404","130.624","118.168","105.946","94.791","84.809","75.28","65.983","57.326","47.927","38.407","29.632","21.596","14.808","10.265","7.074","4.935","3.08"
"29","Estimates","World",NA,"900",NA,NA,"1","World","0","1978","26.3","49.923","79.678","110.774","141.311","169.327","193.143","209.603","219.555","223.767","222.236","215.438","204.438","191.163","176.416","161.687","148.371","137.573","127.375","115.362","103.625","92.542","81.77","72.355","63.196","54.747","45.549","36.33","27.958","20.685","14.271","9.986","6.896","4.797","2.994"
"30","Estimates","World",NA,"900",NA,NA,"1","World","0","1979","26.81","47.534","78.05","113.04","145.02","173.036","194.338","211.011","221.014","225.135","223.543","216.338","205.096","191.062","175.501","160.78","145.338","132.882","122.853","113.385","101.984","91.451","80.713","70.531","61.472","53.153","44.14","35.049","26.81","19.778","13.745","9.62","6.675","4.615","2.86"
"31","Estimates","World",NA,"900",NA,NA,"1","World","0","1980","27.522","47.304","73.011","109.227","146.194","175.648","197.256","212.401","222.62","226.528","224.796","217.061","205.23","190.682","174.365","158.729","143.373","129.233","117.732","108.895","100.233","90.128","79.961","69.704","60.007","51.621","42.711","33.802","25.725","18.827","13.069","9.285","6.46","4.503","2.791"
"32","Estimates","World",NA,"900",NA,NA,"1","World","0","1981","27.902","48.401","72.785","103.553","143.18","176.787","199.215","213.922","223.579","227.455","225.008","217.097","204.797","189.967","173.323","157.056","141.233","127.27","114.353","103.906","95.942","88.397","78.61","68.901","59.199","50.277","41.524","32.771","24.874","18.124","12.49","8.855","6.253","4.366","2.727"
"33","Estimates","World",NA,"900",NA,NA,"1","World","0","1982","28.244","48.827","74.567","104.552","139.926","177.469","202.628","217.561","226.349","230.139","227.335","218.218","205.429","190.113","172.934","156.148","140.16","125.81","113.146","101.637","92.633","85.591","78.102","68.721","59.416","50.378","41.114","32.381","24.529","17.798","12.138","8.535","5.987","4.221","2.638"
"34","Estimates","World",NA,"900",NA,NA,"1","World","0","1983","27.681","49.106","74.867","105.629","138.33","171.329","197.902","212.718","220.059","221.751","218.553","209.439","196.673","181.717","165.481","149.082","133.831","120.224","107.824","97.077","87.564","79.581","72.906","65.946","57.187","48.715","39.656","30.878","23.385","17.029","11.745","8.317","5.858","4.162","2.657"
"35","Estimates","World",NA,"900",NA,NA,"1","World","0","1984","27.031","48.328","75.808","107.102","140.82","172.922","197.951","213.099","219.313","220.531","216.738","207.778","194.815","179.836","163.385","147.748","132.194","118.586","106.425","95.246","85.996","77.099","69.315","62.957","56.208","48.11","39.497","30.699","22.953","16.676","11.491","8.148","5.74","4.045","2.565"
