"","i","avg_r","age","sex","born"
"361","TP872",0.00307377049180328,63,2,0
"362","TP873",0.00409836065573771,41,1,1
"363","TP874",0,28,2,0
"364","TP875",0.00922131147540984,44,1,1
"365","TP876",0.00204918032786885,41,2,0
"366","TP877",0.00665983606557377,20,2,1
"367","TP878",0.00665983606557377,16,1,1
"368","TP879",0.00870901639344262,46,1,1
"369","TP880",0.00102459016393443,41,2,0
"370","TP881",0.00589139344262295,11,1,1
"371","TP882",0,51,2,0
"372","TP883",0.00665983606557377,68,1,1
"373","TP884",0.00409836065573771,56,2,0
"374","TP885",0.00742827868852459,31,1,1
"375","TP886",0.00576331967213115,3,2,1
"376","TP887",0.00576331967213115,1.5,1,1
"377","TP888",0.00742827868852459,35,1,1
"378","TP889",0.00204918032786885,30,2,0
"379","TP890",0.00576331967213115,9,2,1
"380","TP891",0.00576331967213115,7.5,1,1
"381","TP892",0.00512295081967213,66,1,1
"382","TP893",0.00409836065573771,21,1,1
"383","TP895",0.00204918032786885,56,1,1
"384","TP896",0.00307377049180328,51,2,0
"385","TP897",0.00358606557377049,26,1,1
"386","TP898",0.00358606557377049,22,2,1
"387","TP899",0.00204918032786885,70,2,0
"388","TP900",0,56,2,0
"389","TP901",0.00332991803278689,46,1,1
"390","TP902",0.00153688524590164,41,2,0
"391","TP903",0.0039702868852459,28,1,1
"392","TP904",0.00179303278688525,66,2,0
"393","TP906",0.00102459016393443,25,2,0
"394","TP907",0.00352202868852459,0.1,2,1
"395","TP908",0.00230532786885246,68,2,0
"396","TP911",0.00204918032786885,26,2,0
"397","TP912",0.00288165983606557,5,1,1
"398","TP913",0.00288165983606557,3,1,1
"399","TP916",0.00153688524590164,54,1,1
"400","TP917",0.00102459016393443,44,2,0
"401","TP918",0.00230532786885246,19,1,1
"402","TP919",0,40,2,0
"403","TP920",0.00486680327868852,54,1,1
"404","TP921",0.00204918032786885,46,2,0
"405","TP922",0.00448258196721311,20,1,1
"406","TP923",0.00448258196721311,15,1,1
"407","TP924",0.00486680327868852,51,1,1
"408","TP925",0.00204918032786885,49,2,1
"409","TP926",0.00448258196721311,20,1,1
"410","TP927",0.00448258196721311,17,2,1
"411","TP928",0.0079405737704918,76,2,1
"412","TP930",0.00755635245901639,66,1,1
"413","TP931",0.00204918032786885,51,2,0
"414","TP932",0.00845286885245902,56,1,1
"415","TP933",0.00358606557377049,47,2,0
"416","TP934",0.00704405737704918,25,1,1
"417","TP935",0.00755635245901639,22,2,1
"418","TP936",0.00717213114754098,76,2,1
"419","TP941",0.00614754098360656,2,1,0
"420","TP942",0,76,1,1
"421","TP943",0.00409836065573771,75,2,1
"422","TP944",0.00742827868852459,71,1,1
"423","TP945",0.00102459016393443,73,2,0
"424","TP947",0.00685194672131148,36,2,1
"425","TP948",0.00701203893442623,17,1,1
"426","TP949",0.00701203893442623,12,1,1
"427","TP950",0.00614754098360656,64,2,1
"428","TP952",0.00730020491803279,38,1,1
"429","TP953",0.00204918032786885,29,2,0
"430","TP954",0.00569928278688525,8.5,2,1
"431","TP955",0.00569928278688525,4,2,1
"432","TP956",0.00435450819672131,66,1,1
"433","TP957",0.00512295081967213,66,2,1
"434","TP958",0.00665983606557377,76,1,1
"435","TP959",0.00665983606557377,68,2,0
"436","TP960",0.00922131147540984,48,1,1
"437","TP961",0.00307377049180328,41,2,0
"438","TP962",0.00717213114754098,20,2,1
"439","TP963",0.00717213114754098,19,1,1
"440","TP964",0.00717213114754098,17,2,1
"441","TP965",0.00870901639344262,43,1,1
"442","TP966",0.00204918032786885,34,2,0
"443","TP967",0.00640368852459016,9,2,1
"444","TP968",0.00640368852459016,8,2,1
"445","TP969",0.00102459016393443,76,1,1
"446","TP972",0.00204918032786885,35,2,0
"447","TP973",0.00256147540983607,13,1,1
"448","TP974",0.00256147540983607,3.5,1,1
"449","TP975",0,43,2,0
"450","TP976",0.00102459016393443,56,1,0
"451","TP977",0.00153688524590164,53,2,1
"452","TP979",0.00204918032786885,29,2,0
"453","TP980",0.00320184426229508,4,2,1
"454","TP981",0.00320184426229508,2,1,1
"455","TP984",0.00076844262295082,16,1,1
"456","TP986",0.00153688524590164,68,2,1
"457","TP988",0.00307377049180328,61,2,1
"458","TP989",0.00358606557377049,35,1,1
"459","TP990",0.00358606557377049,33,1,1
"460","TP991",0.00358606557377049,38,1,1
"461","TP992",0,31,2,0
"462","TP993",0.00102459016393443,51,1,1
"463","TP994",0.00153688524590164,46,2,1
"464","TP995",0.00230532786885246,24,2,1
"465","TP996",0.00243340163934426,61,1,1
"466","TP997",0.00480276639344262,43,1,1
"467","TP998",0.00704405737704918,40,2,1
"468","TP999",0.00694800204918033,18,2,1
"469","TP1000",0.00694800204918033,13,2,1
"470","TP1002",0,64,2,0
"471","TP1003",0,66,1,0
"472","TP1004",0.00332991803278689,68,1,1
"473","TP1005",0.00102459016393443,66,2,0
"474","TP1007",0.00230532786885246,56,2,0
"475","TP1010",0.0038422131147541,11,2,0
"476","TP1011",0.0038422131147541,10,1,0
"477","TP1012",0.0038422131147541,8,1,0
"478","TP1015",0.00140881147540984,71,1,1
"479","TP1016",0,65,2,0
"480","TP1017",0.00512295081967213,49,2,1
"481","TP1019",0.00819672131147541,46,2,1
"482","TP1020",0.00627561475409836,25,2,1
"483","TP1021",0.00627561475409836,22,2,1
"484","TP1022",0.00307377049180328,64,1,1
"485","TP1023",0,62,2,0
"486","TP1025",0.00349001024590164,30,2,0
"487","TP1026",0.00225730020491803,9,2,0
"488","TP491",0.00166495901639344,2,2,1
"489","TP492",0.00166495901639344,0.1,1,1
