"","i","avg_r","age","sex","primary","secondary","born"
"169","GA308",0.0026525198938992,38,2,2,4,1
"170","GA2374",0.00493202917771883,32,2,2,7,1
"171","GA2268",0.00348143236074271,39,2,1,2,1
"172","GA1494",0.00820623342175066,31,2,9,6,1
"173","GA1988",0.00327420424403183,36,2,2,2,1
"174","GA3130",0.00547082228116711,32,2,1,10,1
"175","GA1383",0.00812334217506631,39,2,4,6,1
"176","GA2828",0.00687997347480106,38,2,3,14,1
"177","GA640",0.00638262599469496,35,2,5,2,1
"178","GA3231",0.00563660477453581,40,2,3,9,1
"179","GA1969",0.00273541114058355,37,2,1,0,0
"180","GA575",0.000994694960212202,43,2,0,3,1
"181","GA2401",0.00671419098143236,30,2,2,8,1
"182","GA2722",0.00812334217506631,31,2,4,6,1
"183","GA2323",0.0028183023872679,32,2,0,6,1
"184","GA1285",0.000994694960212202,41,2,1,1,0
"185","GA2065",0.000663129973474801,35,2,0,2,1
"186","GA3155",0.0112732095490716,31,2,4,14,1
"187","GA2838",0.0013262599469496,32,2,1,2,1
"188","GA744",0.00447612732095491,39,2,2,3,1
"189","GA568",0.00866213527851459,38,2,4,10,1
"190","GA1184",0.000994694960212202,37,2,0,3,1
"191","GA2696",0.0029840848806366,32,2,4,1,1
"192","GA1476",0.00741876657824934,43,2,4,5,1
"193","GA3287",0.00663129973474801,31,2,0,6,1
"194","GA687",0.00331564986737401,33,2,1,8,1
"195","GA1172",0.00949104774535809,35,2,5,6,1
"196","GA202",0.00588527851458886,31,2,4,2,1
"197","GA3619",0.00364721485411141,40,2,2,7,1
"198","GA737",0.00273541114058355,39,2,2,0,1
"199","GA3589",0.00658985411140584,38,2,3,7,1
"200","GA2946",0.00588527851458886,29,2,4,2,1
"201","GA10",0.00190649867374005,35,2,1,1,1
"202","GA775",0.00327420424403183,46,2,2,2,1
"203","GA529",0.0013262599469496,52,2,1,2,1
"204","GA210",0.00397877984084881,44,2,2,0,1
"205","GA1115",0.00750165782493369,46,2,4,6,1
"206","GA700",0.0029840848806366,36,2,4,1,1
"207","GA2808",0.00895225464190982,43,2,3,12,1
"208","GA51",0.0023209549071618,49,2,3,1,1
"209","GA3425",0.000994694960212202,43,2,1,1,0
"210","GA1563",0.00397877984084881,49,2,4,3,1
"211","GA871",0.00414456233421751,50,2,2,7,1
"212","GA3118",0.0026525198938992,46,2,4,0,1
"213","GA3330",0.00464190981432361,44,2,4,5,1
"214","GA3448",0.00522214854111406,46,2,4,2,1
"215","GA1256",0.0124336870026525,51,2,7,21,1
"216","GA2512",0.0122679045092838,53,2,7,18,1
"217","GA2922",0.00480769230769231,58,2,1,7,1
"218","GA1896",0.00480769230769231,45,2,4,5,1
"219","GA2044",0.00364721485411141,54,2,4,3,1
"220","GA2766",0.0109416445623342,47,2,3,16,1
"221","GA3439",0.00331564986737401,45,2,5,0,1
"222","GA444",0.00721153846153846,49,2,4,8,1
"223","GA1486",0.00530503978779841,45,2,2,8,1
"224","GA3116",0.00663129973474801,47,2,5,9,1
"225","GA2944",0.00314986737400531,50,2,0,2,1
"226","GA3624",0.0019893899204244,44,2,3,0,0
"227","GA1630",0.0013262599469496,50,2,2,0,0
"228","GA3354",0.00754310344827586,49,2,6,10,1
"229","GA537",0.0011604774535809,52,2,1,1,1
"230","GA3288",0.00812334217506631,44,2,5,8,1
"231","GA1680",0.0019893899204244,47,2,3,0,0
"232","GA2646",0.00629973474801061,45,2,3,10,1
"233","GA2321",0.0109416445623342,52,2,6,13,0
"234","GA3108",0.00331564986737401,46,2,4,2,1
"235","GA999",0.00729442970822281,50,2,7,8,1
"236","GA226",0.00480769230769231,45,2,0,12,1
"237","GA2391",0.0021551724137931,49,2,2,2,1
"238","GA52",0.00513925729442971,55,2,6,3,1
"239","GA3565",0.00853779840848806,50,2,9,7,1
"240","GA1624",0.00497347480106101,63,2,3,7,1
"241","GA2380",0.00314986737400531,63,2,2,3,1
"242","GA3628",0.0019893899204244,68,2,1,2,1
"243","GA1878",0.00903514588859416,58,2,4,14,1
"244","GA3033",0.0026525198938992,61,2,4,0,1
"245","GA804",0.00314986737400531,53,2,2,3,1
"246","GA1074",0.00397877984084881,57,2,5,2,1
"247","GA89",0.00323275862068966,61,2,4,1,1
"248","GA3447",0.00812334217506631,53,2,7,9,1
"249","GA3524",0.0129310344827586,61,2,9,16,1
"250","GA2825",0.00654840848806366,53,2,2,10,1
"251","GA3445",0.0011604774535809,61,2,1,1,1
"252","GA958",0.00737732095490716,77,2,7,6,1
"253","GA1844",0.00679708222811671,75,2,7,3,1
"254","GA583",0.0023209549071618,63,2,2,3,0
"255","GA2924",0.00588527851458886,85,2,5,5,1
"256","GA889",0.00571949602122016,72,2,4,7,0
"257","GA3333",0.00940815649867374,29,1,2,10,1
"258","GA1193",0.00480769230769231,28,1,2,3,1
"259","GA1504",0.00505636604774536,27,1,1,6,1
"260","GA3405",0.0029840848806366,28,1,2,5,1
"261","GA2410",0.00621684350132626,27,1,3,6,1
"262","GA2338",0.0028183023872679,29,1,3,2,1
"263","GA2504",0.00306697612732095,28,1,3,2,1
"264","GA1337",0.00563660477453581,29,1,4,4,1
"265","GA974",0.00779177718832891,29,1,4,9,1
"266","GA1751",0.00687997347480106,29,1,3,14,1
"267","GA2550",0.00621684350132626,27,1,3,12,1
"268","GA2140",0.000994694960212202,29,1,1,1,0
"269","GA2962",0.00368866047745358,27,1,3,1,1
"270","GA1321",0.00348143236074271,26,1,4,0,0
"271","GA219",0.00571949602122016,28,1,3,4,1
"272","GA2874",0.0018236074270557,28,1,1,1,1
"273","GA1182",0.00625828912466843,28,1,4,5,1
"274","GA1920",0.00949104774535809,28,1,5,6,1
"275","GA2651",0.00348143236074271,30,1,4,0,1
"276","GA337",0.00671419098143236,27,1,2,8,1
"277","GA2889",0.0051599801061008,29,1,3,3,1
"278","GA3270",0.00364721485411141,26,1,1,9,1
"279","GA2269",0.0112732095490716,29,1,4,14,1
"280","GA1532",0.00820623342175066,40,1,9,6,1
"281","GA3195",0.00314986737400531,37,1,2,1,0
"282","GA3600",0.00567805039787798,32,1,4,2,0
"283","GA3091",0.0013262599469496,36,1,1,2,0
"284","GA1139",0.00356432360742706,30,1,2,2,1
"285","GA2933",0.00314986737400531,30,1,2,1,0
"286","GA1776",0.00431034482758621,40,1,1,7,0
"287","GA3567",0.0026525198938992,30,1,4,0,1
"288","GA2842",0.00820623342175066,40,1,9,6,1
"289","GA810",0.000331564986737401,35,1,0,1,1
"290","GA1854",0.0026525198938992,36,1,4,0,1
"291","GA423",0.00820623342175066,33,1,9,6,1
"292","GA2628",0.00820623342175066,37,1,9,6,1
"293","GA2238",0.00571949602122016,37,1,0,11,1
"294","GA1409",0.0013262599469496,37,1,1,2,1
"295","GA641",0.0029840848806366,34,1,4,1,1
"296","GA1868",0.0013262599469496,37,1,1,2,1
"297","GA1468",0.00439323607427056,36,1,1,7,1
"298","GA1788",0.0051599801061008,31,1,3,3,1
"299","GA1054",0.00812334217506631,34,1,4,6,1
"300","GA161",0.00397877984084881,32,1,3,3,1
"301","GA1136",0.0026525198938992,37,1,1,6,1
"302","GA826",0.00455901856763926,41,1,2,7,1
"303","GA1037",0.0013262599469496,38,1,1,2,1
"304","GA650",0.00961538461538462,36,1,2,17,1
"305","GA2508",0.0023209549071618,37,1,3,1,1
"306","GA1329",0.00779177718832891,40,1,4,9,1
"307","GA1753",0.00530503978779841,31,1,2,10,1
"308","GA1714",0.00530503978779841,30,1,2,10,1
"309","GA2895",0,43,1,0,0,1
"310","GA771",0.00513925729442971,30,1,0,13,1
"311","GA2872",0.00339854111405836,39,1,2,1,1
"312","GA3443",0.000828912466843501,37,1,0,2,1
"313","GA2208",0.0102785145888594,31,2,3,9,1
"314","GA1110",0.00658985411140584,21,2,2,3,0
"315","GA2295",0.00422745358090186,41,1,2,2,1
"316","GA1143",0.0029840848806366,36,1,3,2,1
"317","GA143",0.00364721485411141,40,1,1,6,1
"318","GA2357",0.00679708222811671,35,1,4,10,0
"319","GA729",0.00397877984084881,40,1,5,2,1
"320","GA979",0.0029840848806366,32,1,3,2,1
"321","GA94",0.000663129973474801,38,1,1,0,1
"322","GA1390",0.00431034482758621,41,1,3,7,1
"323","GA2292",0.00236240053050398,32,1,0,3,1
