"","i","avg_r","age","sex","primary","secondary","born"
"185","DM4327",0.0125105574324324,25,1,2,3,0
"186","DM4330",0.00617609797297297,49,1,2,1,1
"187","DM4333",0.00533150337837838,61,2,1,2,1
"188","DM4337",0.0154666385135135,45,2,3,4,1
"189","DM4341",0.00812922297297297,86,1,2,3,1
"190","DM4346",0.0216493348817568,24,1,2,5,1
"191","DM4351",0.0216493348817568,22,1,2,5,1
"192","DM4364",0.00770692567567568,73,2,2,3,1
"193","DM4366",0.0224741342905405,41,2,7,4,1
"194","DM4368",0.00253378378378378,46,1,1,1,1
"195","DM4390",0.0224741342905405,45,2,7,4,1
"196","DM4394",0.0133023648648649,62,1,1,1,1
"197","DM4395",0.00422297297297297,94,2,0,4,1
"198","DM4399",0.00601773648648649,54,1,1,2,1
"199","DM4411",0.00168918918918919,74,2,0,2,1
"200","DM4415",0.00646642736486487,31,1,0,2,1
"201","DM4420",0.0240709459459459,74,2,6,12,1
"202","DM4426",0.0227578652871622,33,1,1,9,1
"203","DM4429",0.0216955236486486,19,2,3,7,1
"204","DM4430",0.0139754011824324,30,1,1,6,1
"205","DM4431",0.0136190878378378,44,2,3,2,1
"206","DM4432",0.0247043918918919,35,2,6,12,1
"207","DM4433",0.0216955236486486,23,2,3,7,1
"208","DM4435",0.0263935810810811,47,1,8,10,1
"209","DM4440",0.0247043918918919,35,2,6,12,1
"210","DM4445",0.0247043918918919,28,1,6,12,1
"211","DM4451",0.0206661739864865,56,1,3,3,1
"212","DM4455",0.0206661739864865,64,1,3,3,1
"213","DM4459",0.0120552681587838,27,1,1,2,1
"214","DM4463",0.0206991659628378,29,2,1,4,1
"215","DM4467",0.0141667546452703,28,1,2,2,1
"216","DM4469",0.00428895692567568,49,2,1,1,1
"217","DM4481",0.00274493243243243,28,1,1,0,1
"218","DM4486",0.00168918918918919,69,1,1,0,0
"219","DM4490",0.0122198156408361,36,1,4,2,1
"220","DM4495",0.0134599015519426,59,1,4,2,1
"221","DM4497",0.00760135135135135,60,2,4,1,1
"222","DM4499",0.0122198156408361,35,1,4,2,1
"223","DM4502",0.0122198156408361,34,1,4,2,1
"224","DM4508",0.00337837837837838,76,2,1,2,0
"225","DM4524",0.0197160050675676,36,2,4,2,1
"226","DM4525",0.0197160050675676,42,1,4,2,1
"227","DM8",0.0233319256756757,62,2,5,1,1
"228","DM9",0.0197160050675676,32,2,4,2,1
"229","DM11",0.0197160050675676,37,2,4,2,1
"230","DM16",0.0145164695945946,80,2,1,1,1
"231","DM18",0.00190033783783784,82,1,0,0,1
"232","DM24",0.00998337204391892,41,2,0,2,1
"233","DM29",0,77,2,0,0,1
"234","DM30",0.000844594594594595,56,1,0,1,1
"235","DM41",0.00607052364864865,42,1,0,0,1
"236","DM53",0.0109203441722973,23,2,0,0,1
"237","DM55",0.00992398648648649,70,1,0,1,1
"238","DM59",0.033862964527027,60,2,3,17,1
"239","DM67",0.00467166385135135,89,1,0,1,1
"240","DM82",0.00337837837837838,50,2,2,0,1
"241","DM83",0.00531830658783784,24,2,2,0,0
"242","DM86",0.00531830658783784,19,2,2,0,1
"243","DM97",0.0134838207347973,23,1,3,2,1
"244","DM103",0,65,1,0,0,1
"245","DM104",0.00951488597972973,68,2,0,2,0
"246","DM108",0.0134838207347973,21,2,3,2,1
"247","DM109",0.0134838207347973,30,1,3,2,1
"248","DM127",0.00535789695945946,35,2,1,1,1
"249","DM133",0.00591216216216216,72,1,2,3,1
"250","DM135",0.0109797297297297,25,1,1,2,1
"251","DM141",0.00168918918918919,66,2,1,0,1
"252","DM143",0.0109797297297297,32,1,1,2,1
"253","DM148",0.00548986486486487,39,2,2,1,1
"254","DM160",0.0129856418918919,43,2,0,4,1
"255","DM164",0.00876266891891892,39,2,0,4,1
"256","DM168",0.0255489864864865,45,2,7,11,1
"257","DM170",0.0225929054054054,24,1,2,8,1
"258","DM172",0.0162584459459459,52,1,3,8,1
"259","DM173",0.0154138513513514,56,1,2,9,1
"260","DM190",0,72,2,0,0,1
"261","DM195",0.00764754011824324,52,1,0,1,1
"262","DM202",0.0239389780405405,64,1,5,9,1
"263","DM205",0.0256281672297297,57,1,7,7,1
"264","DM206",0.0196830130912162,41,2,3,1,1
"265","DM212",0.0162584459459459,70,2,3,8,1
"266","DM216",0.0230943834459459,66,1,4,10,1
"267","DM220",0.0110853040540541,76,1,1,1,1
"268","DM224",0.0309596706081081,33,1,2,12,1
"269","DM227",0.0239389780405405,68,1,5,9,1
"270","DM235",0.0188978040540541,80,1,7,3,1
"271","DM236",0.0224741342905405,50,1,7,4,1
"272","DM244",0.0175121410472973,36,1,2,8,1
"273","DM245",0.00849873310810811,50,2,4,1,1
"274","DM250",0.0233187288851351,39,2,8,3,1
"275","DM251",0.0187526393581081,31,2,4,6,1
"276","DM253",0.0224741342905405,48,1,7,4,1
"277","DM254",0.00644003378378378,33,1,2,1,1
"278","DM255",0.0232131545608108,63,2,2,7,1
"279","DM258",0.0347075591216216,62,2,4,16,1
"280","DM259",0.0241633234797297,43,2,9,2,1
"281","DM260",0.0224741342905405,36,2,7,4,1
"282","DM261",0.0187526393581081,26,2,4,6,1
"283","DM270",0.0187526393581081,30,1,4,6,1
"284","DM279",0.019847972972973,86,2,1,3,1
"285","DM288",0.00804344383445946,34,1,1,0,1
"286","DM297",0.00126689189189189,47,1,0,1,1
"287","DM299",0.0148232949746622,23,2,0,4,1
"288","DM300",0.00253378378378378,43,2,1,1,1
"289","DM308",0,31,2,0,0,NA
"290","DM2702",0.0134079391891892,54,1,3,5,1
"291","DM2704",0.00950168918918919,53,2,3,3,1
"292","DM2710",0.0119360846442145,22,1,0,2,1
"293","DM2712",0.00253378378378378,43,1,1,0,0
"294","DM2713",0.0216493348817568,27,1,2,5,1
"295","DM2741",0.0148727829391892,69.5,2,2,0,1
"296","DM2742",0.0240841427364865,38.5,2,3,3,1
"297","DM2751",0.00548986486486487,72,2,2,2,1
