,ID,Group,Sex,Age,Age_cat,r_to_all_adults,s_to_all_adults,r_to_group,r_to_adults,r_to_children,N_camps_w_kin,s_to_group,s_to_adults,N_camps_w_con_or_aff_kin
72,72,b,M,51,ADULT,0.016782407,0.029513889,0.099056604,0.065217391,0.125,10,0.137971698,0.133152174,12
73,73,b,F,50,ADULT,0.012962963,0.012962963,0.137971698,0.114130435,0.15625,4,0.136792453,0.130434783,12
74,74,b,M,20,ADULT,0.016724537,0.023090278,0.127948113,0.111413043,0.140625,10,0.15625,0.153532609,NA
75,75,b,F,20,ADULT,0.016724537,0.024074074,0.127948113,0.111413043,0.140625,10,0.141795312,0.147562582,11
76,76,b,M,11.285643,CHILD,0.018507841,0.024850092,0.127948113,0.127604167,0.128232759,10,0.146816038,0.16796875,NA
77,77,b,M,10.5,CHILD,0.018507841,0.024850092,0.127948113,0.127604167,0.128232759,10,0.146816038,0.16796875,NA
78,78,b,F,10,CHILD,0.018507841,0.024850092,0.127948113,0.127604167,0.128232759,10,0.146816038,0.16796875,NA
79,79,b,M,8,CHILD,0.018507841,0.024850092,0.127948113,0.127604167,0.128232759,10,0.146816038,0.16796875,NA
80,80,b,F,5.044705,CHILD,0.018507841,0.024850092,0.127948113,0.127604167,0.128232759,10,0.146816038,0.16796875,NA
81,81,b,M,3.747831,CHILD,0.018507841,0.024850092,0.127948113,0.127604167,0.128232759,10,0.146816038,0.16796875,NA
82,82,b,M,2.543463381,CHILD,0.018507841,0.024850092,0.127948113,0.127604167,0.128232759,10,0.146816038,0.16796875,NA
83,83,b,F,45,ADULT,0.009259259,0.003703704,0.080188679,0.054347826,0.1,2,0.075471698,0.043478261,NA
84,84,b,M,30,ADULT,0.006481481,0.003703704,0.077830189,0.048913043,0.1,2,0.075471698,0.043478261,NA
85,85,b,M,17,CHILD,0.008302583,0.005535055,0.077830189,0.067708333,0.086206897,2,0.075471698,0.0625,NA
86,86,b,F,25,ADULT,0.006481481,0.003703704,0.077830189,0.048913043,0.1,2,0.075471698,0.043478261,NA
87,87,b,M,15,CHILD,0.008302583,0.005535055,0.077830189,0.067708333,0.086206897,2,0.075471698,0.0625,NA
88,88,b,F,NA,CHILD,0.008302583,0.005535055,0.077830189,0.067708333,0.086206897,2,0.075471698,0.0625,NA
89,89,b,F,10.553335,CHILD,0.008302583,0.005535055,0.077830189,0.067708333,0.086206897,2,0.075471698,0.0625,NA
90,90,b,F,8,CHILD,0.008302583,0.005535055,0.077830189,0.067708333,0.086206897,2,0.075471698,0.0625,NA
91,91,b,F,5.553958,CHILD,0.008302583,0.005535055,0.077830189,0.067708333,0.086206897,2,0.075471698,0.0625,NA
92,92,c,F,1.5,CHILD,0.011358395,0.017210563,0.0078125,0.010416667,0.005208333,7,0,0,NA
93,93,d,M,39.653202,ADULT,0.020052083,0.034143519,0.137993421,0.122070313,0.149573864,2,0.177302632,0.2234375,11
94,94,d,F,36.193327,ADULT,0.014930556,0.025810185,0.059662829,0.0296875,0.081463068,10,0.078289474,0.075,11
95,95,d,F,18.995623,ADULT,0.019343171,0.031828704,0.104091283,0.088378906,0.115518466,9,0.133059211,0.16171875,NA
96,96,d,M,15.000743,CHILD,0.021116813,0.033556273,0.104091283,0.098418445,0.108398438,9,0.133059211,0.169969512,NA
97,97,d,M,13.002539,CHILD,0.021116813,0.033556273,0.104091283,0.098418445,0.108398438,9,0.133059211,0.169969512,NA
98,98,d,M,9.001847,CHILD,0.021116813,0.033556273,0.104091283,0.098418445,0.108398438,9,0.133059211,0.169969512,NA
99,99,d,F,7.502341,CHILD,0.021116813,0.033556273,0.104091283,0.098418445,0.108398438,9,0.133059211,0.169969512,NA
100,100,d,M,4.996408,CHILD,0.021116813,0.033556273,0.104091283,0.098418445,0.108398438,9,0.133059211,0.169969512,NA
101,101,d,F,3.001812,CHILD,0.021116813,0.033556273,0.104091283,0.098418445,0.108398438,9,0.133059211,0.169969512,NA
102,102,d,M,1.248779,CHILD,0.021116813,0.033556273,0.104091283,0.098418445,0.108398438,9,0.133059211,0.169969512,NA
103,103,c,M,30.03,ADULT,0.018518519,0.034027778,0.208333333,0.1,0.285714286,6,0.291666667,0.3,8
104,104,c,F,29,ADULT,0.004007523,0.006018519,0.153320313,0.02890625,0.2421875,4,0.255208333,0.275,8
105,105,c,M,4.722792608,CHILD,0.014911497,0.023639299,0.22249349,0.220377604,0.224609375,7,0.315104167,0.40625,NA
106,106,c,F,2.475017112,CHILD,0.014911497,0.023639299,0.22249349,0.220377604,0.224609375,7,0.315104167,0.40625,NA
107,107,c,F,0.150581793,CHILD,0.014911497,0.023639299,0.22249349,0.220377604,0.224609375,7,0.315104167,0.40625,NA
108,108,c,M,61,ADULT,0.018981481,0.02962963,0.145833333,0.1,0.178571429,4,0.1875,0.2,NA
109,109,c,M,15,CHILD,0.020295203,0.033902214,0.145833333,0.166666667,0.125,6,0.1875,0.25,NA
110,110,c,M,22.4,ADULT,0.003240741,0.003703704,0.041666667,0,0.071428571,2,0.125,0.2,4
111,111,c,F,22.848841,ADULT,0.00306713,0.008796296,0.083333333,0.025,0.125,3,0.182291667,0.275,4
112,112,c,M,2.704996578,CHILD,0.006832334,0.009916974,0.104166667,0.177083333,0.03125,3,0.1953125,0.364583333,NA
113,113,e,F,0.27652293,CHILD,0.006226937,0.012626845,0.09375,0.090909091,0.095238095,3,0.125,0.181818182,NA
114,114,e,M,39.029277,ADULT,0,0.003703704,0.078125,0,0.113636364,1,0.109375,0.1,6
115,115,e,F,26.631898,ADULT,0.005092593,0.014236111,0.078125,0,0.113636364,6,0.109375,0.1,6
116,116,e,M,2.35967,CHILD,0.006226937,0.012626845,0.09375,0.090909091,0.095238095,3,0.125,0.181818182,NA
117,117,e,F,6.664504,CHILD,0.006226937,0.012626845,0.09375,0.090909091,0.095238095,3,0.125,0.181818182,NA
118,118,e,M,9.995407,CHILD,0.006226937,0.012626845,0.09375,0.090909091,0.095238095,3,0.125,0.181818182,NA
119,119,e,M,3.771932,CHILD,0.006226937,0.012626845,0.09375,0.090909091,0.095238095,3,0.125,0.181818182,NA
120,120,e,M,35.606552,ADULT,0.002083333,0.003703704,0.125,0,0.181818182,5,0.15625,0.1,11
121,121,e,F,36.460461,ADULT,0.009678819,0.003703704,0.1796875,0.05,0.238636364,9,0.15625,0.1,11
122,122,e,F,16.051608,CHILD,0.009549412,0.007380074,0.16796875,0.113636364,0.196428571,6,0.171875,0.181818182,NA
123,123,e,M,13,CHILD,0.009549412,0.007380074,0.16796875,0.113636364,0.196428571,6,0.171875,0.181818182,NA
124,124,e,M,11,CHILD,0.009549412,0.007380074,0.16796875,0.113636364,0.196428571,6,0.171875,0.181818182,NA
125,125,e,M,9.150436,CHILD,0.009549412,0.007380074,0.16796875,0.113636364,0.196428571,6,0.171875,0.181818182,NA
126,126,e,M,4.291943,CHILD,0.009549412,0.007380074,0.16796875,0.113636364,0.196428571,6,0.171875,0.181818182,NA
127,127,e,M,4.291943,CHILD,0.009549412,0.007380074,0.16796875,0.113636364,0.196428571,6,0.171875,0.181818182,NA
128,128,e,F,2.69889,CHILD,0.009549412,0.007380074,0.16796875,0.113636364,0.196428571,6,0.171875,0.181818182,NA
129,129,e,M,0.17,CHILD,0.009549412,0.007380074,0.16796875,0.113636364,0.196428571,6,0.171875,0.181818182,NA
130,130,e,M,29.694607,ADULT,0.009678819,0.003703704,0.15625,0.05,0.204545455,9,0.109375,0.1,9
131,131,e,F,36.787779,ADULT,0,0.003703704,0.078125,0,0.113636364,1,0.109375,0.1,9
132,132,e,F,11.38,CHILD,0.008511589,0.007380074,0.1328125,0.113636364,0.142857143,2,0.125,0.181818182,NA
133,133,e,M,8.97,CHILD,0.008511589,0.007380074,0.1328125,0.113636364,0.142857143,2,0.125,0.181818182,NA
134,134,e,M,4.22,CHILD,0.008511589,0.007380074,0.1328125,0.113636364,0.142857143,2,0.125,0.181818182,NA
